"code","n_jan16","n_feb16","n_mar16","n_apr16","n_may16","n_jun16","n_jul16","n_aug16","n_spt16","n_oct16","n_nov16","n_dec16","n_jan17","n_feb17","n_mar17","n_apr17"
"v199xxd",0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0
"v244xxa",0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0
"v299xxd",0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0
"v4712xa",0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0
"v489xxa",0,0,0,0,2,1,3,0,4,4,4,0,0,0,1,2
"v493xxa",0,0,0,0,2,3,5,4,2,3,3,1,0,4,1,1
"v537xxa",0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
"v9489xa",0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1
"w",0,0,0,0,2,4,0,3,1,0,1,2,1,2,3,0
"w010xxd",0,0,0,0,2,1,2,6,6,2,2,1,1,2,6,2
"w01110a",0,0,0,0,2,3,2,1,2,2,2,4,3,0,1,6
"w01119a",0,0,0,0,2,1,2,2,2,1,0,2,3,1,0,1
"w1",0,0,0,0,2,0,0,1,2,1,4,0,0,1,1,0
"w16622a",0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0
"w1692xa",0,0,0,0,2,2,2,0,0,0,0,0,0,0,1,0
"w2104xa",0,0,0,0,2,1,0,2,2,0,0,0,1,0,0,0
"w241xxa",0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0
"w261xxa",0,0,0,0,2,0,0,1,1,0,0,1,0,0,1,1
"w34010a",0,0,0,0,2,1,1,3,2,4,2,3,0,2,3,2
"w502xxa",0,0,0,0,2,1,1,3,5,9,4,2,2,5,1,3
"x038xxa",0,0,0,0,2,2,0,0,1,0,1,0,0,1,1,0
"x100xxa",0,0,0,0,2,2,4,1,0,3,2,2,0,1,1,1
"x18xxxa",0,0,0,0,2,0,4,2,0,2,1,1,2,2,4,3
"x58xxxs",0,0,0,0,2,1,2,1,1,2,3,4,3,3,0,1
"y",0,0,0,0,2,4,2,5,5,2,0,1,0,0,1,0
"y0711",0,0,0,0,2,1,0,1,1,0,0,0,3,0,0,1
"y0809xa",0,0,0,0,2,0,0,1,1,0,0,2,0,0,1,0
"y633",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"y718",0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0
"y839",0,0,0,0,2,0,0,1,0,0,0,4,0,1,3,0
"y92",0,0,0,0,2,5,6,1,0,1,3,1,1,0,1,2
"y9200",0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1
"y92031",0,0,0,0,2,0,2,4,2,2,0,1,2,1,3,0
"y92119",0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0
"y92124",0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
"y92193",0,0,0,0,2,0,2,0,0,1,7,1,3,6,4,1
"y9365",0,0,0,0,2,1,0,0,2,2,1,1,0,2,7,5
"y93a3",0,0,0,0,2,0,1,1,1,0,0,0,2,0,1,0
"z207",0,0,0,0,2,0,2,0,1,1,0,1,1,3,0,0
"z3",0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0
"z30432",0,0,0,0,2,0,0,2,1,0,2,3,1,2,1,0
"z3480",0,0,0,0,2,1,1,6,2,1,5,1,4,0,2,1
"z432",0,0,0,0,2,1,0,1,0,0,0,0,1,3,3,1
"z578",0,0,0,0,2,2,1,2,3,1,4,2,2,2,1,2
"z609",0,0,0,0,2,0,1,0,3,6,1,4,2,1,3,2
"z741",0,0,0,0,2,0,8,2,3,3,2,4,3,2,4,1
"z809",0,0,0,0,2,2,4,0,0,0,2,1,0,1,3,1
"z8241",0,0,0,0,2,1,1,2,0,2,1,0,1,1,0,1
"z832",0,0,0,0,2,1,1,1,3,3,0,1,1,1,0,1
"z8379",0,0,0,0,2,2,0,2,1,1,1,0,1,0,1,2
"z8489",0,0,0,0,2,0,2,0,0,0,0,1,1,2,2,1
"z85830",0,0,0,0,2,3,2,3,1,2,1,4,2,2,0,1
"z8632",0,0,0,0,2,0,1,1,1,0,1,0,0,0,3,1
"z87441",0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1
"z9002",0,0,0,0,2,0,1,0,2,0,0,2,0,0,1,0
"z90411",0,0,0,0,2,0,1,2,1,1,1,4,1,3,3,1
"z906",0,0,0,0,2,0,2,2,2,2,2,3,1,2,2,3
"z93",0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0
"z980",0,0,0,0,2,3,3,4,4,3,1,5,8,3,8,4
"z984",0,0,0,0,2,1,0,1,0,0,0,0,1,1,1,0
"a",0,0,0,0,1,1,1,0,2,0,1,1,3,1,2,0
"a043",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"a071",0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,3
"a072",0,0,0,0,1,0,2,4,1,0,1,0,1,1,2,0
"a219",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"a319",0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1
"a388",0,0,0,0,1,0,2,0,0,2,2,1,2,1,1,1
"a481",0,0,0,0,1,1,2,0,1,0,1,0,1,0,0,1
"a5211",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"a523",0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,2
"a601",0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1
"a770",0,0,0,0,1,0,2,0,1,0,0,0,1,0,2,1
"a799",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"a86",0,0,0,0,1,0,1,1,1,2,1,0,0,1,0,0
"a938",0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,1
"b0189",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
"b0221",0,0,0,0,1,0,3,0,1,0,1,1,0,0,2,0
"b251",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"b2799",0,0,0,0,1,0,3,5,1,0,1,1,1,3,2,0
"b301",0,0,0,0,1,0,1,0,0,0,3,0,0,0,1,0
"b368",0,0,0,0,1,1,0,1,0,0,1,0,2,1,0,0
"b392",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"b448",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"b451",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"b690",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2
"b719",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"b820",0,0,0,0,1,2,1,1,0,0,0,2,0,0,1,1
"b829",0,0,0,0,1,2,0,1,0,0,1,2,0,0,0,0
"b839",0,0,0,0,1,2,0,0,0,0,1,1,2,1,5,0
"b91",0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0
"b948",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"b9621",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"b966",0,0,0,0,1,1,0,1,0,0,0,1,0,0,3,1
"b968",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"b976",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"b998",0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
"c009",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"c049",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"c07",0,0,0,0,1,0,0,0,0,2,1,0,2,0,0,0
"c1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"c240",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
"c249",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
"c25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"c260",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"c3481",0,0,0,0,1,0,1,1,2,4,2,1,0,1,0,0
"c4022",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"c41",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"c414",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"c44",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"c44222",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"c4449",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"c44619",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"c44722",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"c44729",0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
"c4492",0,0,0,0,1,0,0,0,1,1,0,1,1,0,2,1
"c457",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"c4721",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"c480",0,0,0,0,1,2,0,1,0,0,1,1,0,0,0,1
"c4922",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"c493",0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0
"c494",0,0,0,0,1,2,1,2,0,0,2,1,0,0,0,1
"c50922",0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0
"c538",0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0
"c578",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"c609",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"c6212",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"c6290",0,0,0,0,1,1,5,3,1,2,5,1,3,1,2,1
"c6291",0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0
"c67",0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0
"c670",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"c674",0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
"c676",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"c6990",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"c709",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"c713",0,0,0,0,1,1,1,4,0,2,1,0,0,0,1,1
"c7a012",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"c7a1",0,0,0,0,1,1,0,0,1,0,1,3,0,1,1,0
"c7b03",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"c8170",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"c8190",0,0,0,0,1,1,3,4,3,4,0,2,2,2,1,3
"c8290",0,0,0,0,1,0,0,2,2,1,3,2,0,1,3,0
"c8299",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"c8310",0,0,0,0,1,2,0,1,1,2,2,2,2,3,0,1
"c8332",0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1
"c8410",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"c8440",0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
"c8449",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"c8513",0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0
"c8580",0,0,0,0,1,2,0,1,1,0,1,3,0,0,0,0
"c9",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"c9001",0,0,0,0,1,2,1,3,2,1,1,3,0,3,1,2
"c9102",0,0,0,0,1,0,3,0,0,1,2,1,1,1,1,1
"c9130",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"c9240",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"c966",0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,2
"d0000",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"d0221",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"d034",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"d049",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"d0510",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"d135",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"d2239",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"d235",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"d250",0,0,0,0,1,0,1,0,0,0,1,0,0,3,2,0
"d279",0,0,0,0,1,0,0,3,1,1,1,0,1,2,1,1
"d3501",0,0,0,0,1,0,0,0,2,2,1,0,1,3,3,1
"d4100",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"d4410",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"d446",0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
"d46",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"d485",0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0
"d489",0,0,0,0,1,0,0,2,0,0,0,1,1,1,0,0
"d491",0,0,0,0,1,1,0,1,2,2,0,2,4,2,3,1
"d495",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"d497",0,0,0,0,1,1,0,0,0,4,1,1,2,3,2,2
"d569",0,0,0,0,1,2,1,0,2,3,2,2,1,1,2,0
"d5720",0,0,0,0,1,0,1,0,1,3,1,0,0,1,0,0
"d593",0,0,0,0,1,2,0,0,1,0,2,1,3,1,0,0
"d6101",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"d613",0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,2
"d619",0,0,0,0,1,1,0,1,0,2,0,2,0,0,1,3
"d67",0,0,0,0,1,0,0,1,0,0,1,2,5,0,0,0
"d68318",0,0,0,0,1,1,0,0,1,0,2,1,1,1,0,0
"d698",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"d72822",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"d758",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"d7821",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"d8189",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"e010",0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1
"e0291",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"e03",0,0,0,0,1,1,1,0,0,2,0,0,0,1,0,1
"e031",0,0,0,0,1,0,0,0,0,0,1,0,3,3,0,0
"e0580",0,0,0,0,1,3,1,3,2,4,0,2,4,3,2,0
"e059",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"e0781",0,0,0,0,1,2,3,2,0,1,1,1,2,0,5,2
"e0800",0,0,0,0,1,1,2,2,1,0,0,0,1,2,1,1
"e0810",0,0,0,0,1,3,4,4,5,5,5,5,4,7,6,8
"e08351",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"e0910",0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
"e106",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"e10622",0,0,0,0,1,2,1,0,1,1,1,0,0,2,0,0
"e113",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"e1144",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
"e1164",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"e13",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"e1322",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"e2",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"e248",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"e2601",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"e28319",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"e299",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"e310",0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
"e329",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"e348",0,0,0,0,1,1,0,1,3,0,0,0,0,2,0,0
"e512",0,0,0,0,1,0,2,0,4,2,1,0,0,0,3,1
"e539",0,0,0,0,1,0,0,1,1,1,0,2,0,0,0,2
"e55",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"e7119",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"e7212",0,0,0,0,1,1,0,0,0,1,0,1,0,2,2,1
"e739",0,0,0,0,1,2,1,1,3,2,1,5,2,4,4,2
"e7404",0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
"e748",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"e7889",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"e789",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"e8230",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"e83",0,0,0,0,1,0,1,1,1,0,0,0,3,3,1,2
"e83110",0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0
"e83118",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"e851",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"e877",0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
"e8840",0,0,0,0,1,1,1,1,1,2,0,0,0,0,2,2
"e8849",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"e891",0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
"e89811",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"e9199",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"e9299",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f0634",0,0,0,0,1,2,1,0,0,0,1,1,0,0,1,0
"f101",0,0,0,0,1,0,0,1,0,2,0,1,1,0,1,0
"f1012",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f10159",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"f10182",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f102",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"f1022",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f1023",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"f10259",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"f1027",0,0,0,0,1,1,0,1,2,0,1,2,0,0,1,1
"f10280",0,0,0,0,1,0,1,1,0,3,2,1,2,4,2,1
"f10288",0,0,0,0,1,2,5,0,3,4,4,5,8,3,2,5
"f1094",0,0,0,0,1,3,4,1,6,1,1,3,1,4,4,8
"f1096",0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0
"f10981",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f10982",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f11229",0,0,0,0,1,0,0,1,2,0,1,0,1,0,1,0
"f11288",0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0
"f1229",0,0,0,0,1,0,1,0,1,8,14,4,11,10,14,22
"f1321",0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,2
"f13231",0,0,0,0,1,0,1,1,0,3,1,0,1,2,2,2
"f13921",0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0
"f13929",0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0
"f13931",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"f1414",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"f14980",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f15188",0,0,0,0,1,1,0,1,3,0,0,2,1,0,0,0
"f15221",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"f1524",0,0,0,0,1,3,1,0,1,2,1,3,3,4,3,3
"f15288",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"f15922",0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0
"f1593",0,0,0,0,1,0,1,1,3,4,2,0,1,2,3,1
"f16121",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f16251",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f16283",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f1694",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"f1699",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f1899",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f19120",0,0,0,0,1,1,3,0,1,0,1,1,1,1,0,0
"f19150",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f19230",0,0,0,0,1,1,0,1,3,2,2,1,1,2,2,1
"f19930",0,0,0,0,1,0,1,2,1,0,2,0,0,1,0,0
"f1999",0,0,0,0,1,1,0,1,2,3,2,3,0,0,1,1
"f2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f202",0,0,0,0,1,2,3,1,6,0,1,1,0,1,2,0
"f24",0,0,0,0,1,0,0,1,1,0,1,1,1,2,1,0
"f25",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"f3010",0,0,0,0,1,1,2,1,7,2,6,2,4,1,3,5
"f3175",0,0,0,0,1,0,1,2,1,0,1,1,0,1,2,1
"f3176",0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
"f3342",0,0,0,0,1,1,0,1,1,0,0,1,0,2,1,0
"f40210",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f441",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f446",0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0
"f5002",0,0,0,0,1,0,0,1,2,1,3,2,0,1,0,2
"f513",0,0,0,0,1,2,1,2,0,2,0,0,0,1,0,1
"f558",0,0,0,0,1,2,1,3,2,0,0,2,1,1,0,3
"f600",0,0,0,0,1,0,0,5,1,0,1,0,3,3,0,1
"f601",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"f605",0,0,0,0,1,1,0,2,3,0,3,0,0,1,1,0
"f632",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f6389",0,0,0,0,1,0,0,2,0,0,1,2,1,0,1,1
"f654",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"f659",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f809",0,0,0,0,1,2,2,1,1,0,4,2,2,3,11,3
"f91",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f951",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f98",0,0,0,0,1,5,0,1,0,0,1,0,1,1,0,1
"f983",0,0,0,0,1,1,3,0,2,2,1,1,1,1,1,2
"f989",0,0,0,0,1,0,1,1,4,2,6,0,2,3,6,2
"g01",0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,0
"g02",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"g2",0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
"g255",0,0,0,0,1,0,1,1,1,1,2,2,1,2,2,0
"g3",0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0
"g373",0,0,0,0,1,0,3,2,1,1,1,2,6,3,4,1
"g40",0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,2
"g40804",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
"g40823",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"g409",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"g43",0,0,0,0,1,5,1,2,7,2,1,0,0,0,1,1
"g43401",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"g43409",0,0,0,0,1,2,5,4,4,2,4,4,1,3,7,6
"g43701",0,0,0,0,1,0,1,1,0,0,0,0,3,1,0,0
"g43711",0,0,0,0,1,0,4,2,2,1,2,1,4,3,0,1
"g43811",0,0,0,0,1,0,1,1,3,2,1,1,2,2,0,1
"g43831",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"g43b1",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"g44039",0,0,0,0,1,0,3,4,0,4,2,1,0,0,0,2
"g44329",0,0,0,0,1,0,0,2,3,2,4,1,0,0,0,0
"g4441",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"g4452",0,0,0,0,1,4,1,1,5,2,2,1,2,0,2,3
"g465",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"g47429",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"g4761",0,0,0,0,1,0,1,0,1,1,0,0,0,0,3,0
"g5",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"g518",0,0,0,0,1,0,2,2,0,1,2,0,0,0,0,2
"g519",0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0
"g540",0,0,0,0,1,0,2,2,0,2,5,4,1,2,5,0
"g5721",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"g5730",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"g723",0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0
"g8101",0,0,0,0,1,1,0,0,2,1,0,1,2,2,0,1
"g8110",0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
"g8111",0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1
"g890",0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0
"g892",0,0,0,0,1,4,0,2,0,0,0,0,1,0,1,2
"g8922",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"g9001",0,0,0,0,1,0,0,2,1,2,1,2,2,0,0,1
"g90523",0,0,0,0,1,0,2,2,1,4,3,0,0,1,0,1
"g933",0,0,0,0,1,0,2,0,0,1,0,1,1,2,3,1
"g94",0,0,0,0,1,0,0,1,1,0,0,1,2,0,1,0
"g950",0,0,0,0,1,1,1,1,2,0,3,2,0,0,1,0
"g9612",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"h00035",0,0,0,0,1,0,3,0,0,0,2,0,0,1,0,0
"h0015",0,0,0,0,1,2,4,0,1,1,1,1,0,1,0,0
"h0016",0,0,0,0,1,1,1,0,1,1,1,0,1,0,3,0
"h01002",0,0,0,0,1,4,2,1,1,2,1,1,0,1,0,2
"h02105",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"h02203",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"h02401",0,0,0,0,1,6,1,1,1,0,1,0,2,1,2,2
"h02816",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"h02841",0,0,0,0,1,2,3,1,2,2,2,2,1,2,0,2
"h02849",0,0,0,0,1,1,1,2,4,3,0,2,1,2,3,1
"h04539",0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
"h04551",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"h10",0,0,0,0,1,0,0,1,1,1,1,1,2,1,0,0
"h1011",0,0,0,0,1,4,5,6,5,3,5,2,0,5,4,3
"h11003",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"h11423",0,0,0,0,1,1,2,2,1,2,0,0,1,0,0,2
"h1189",0,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0
"h15003",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"h16002",0,0,0,0,1,0,3,1,2,1,2,1,3,0,1,1
"h18891",0,0,0,0,1,0,0,2,1,1,1,3,1,0,0,2
"h2",0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
"h2513",0,0,0,0,1,1,0,1,0,0,3,0,1,0,1,2
"h3092",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"h3412",0,0,0,0,1,0,1,0,2,0,1,1,0,0,0,0
"h3500",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
"h3561",0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,1
"h40",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"h4041x0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
