"code","n_jan16","n_feb16","n_mar16","n_apr16","n_may16","n_jun16","n_jul16","n_aug16","n_spt16","n_oct16","n_nov16","n_dec16","n_jan17","n_feb17","n_mar17","n_apr17"
"e162",1,3,9,127,193,104,123,144,126,153,204,216,259,238,228,133
"e43",1,0,11,62,63,56,59,47,55,93,81,64,107,81,97,87
"e538",1,0,2,31,25,18,32,22,30,30,30,37,45,36,44,60
"e8339",1,0,12,81,77,75,83,79,65,63,76,80,88,96,145,130
"e8351",1,2,6,53,53,28,52,57,44,46,56,65,70,62,79,52
"e850",1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1
"e869",1,0,5,49,81,81,46,50,38,51,34,44,59,57,50,45
"e870",1,0,19,77,62,65,96,63,72,93,89,106,110,107,122,115
"e874",1,0,1,10,14,5,15,15,14,12,4,8,12,13,12,22
"f0390",1,2,14,240,268,274,288,300,278,316,309,330,385,380,435,391
"f0391",1,0,4,10,14,19,31,25,31,35,34,34,35,31,29,34
"f1020",1,0,14,196,290,252,285,260,272,251,200,206,252,254,277,321
"f10231",1,0,1,16,25,22,33,29,24,24,13,25,28,19,38,21
"f29",1,1,6,82,98,125,102,97,97,116,80,80,108,90,131,84
"f3181",1,0,2,11,13,8,14,13,17,9,21,18,14,12,16,15
"f332",1,0,6,77,113,86,71,110,107,95,105,94,121,110,118,156
"f409",1,0,0,2,3,2,0,1,1,1,1,0,1,1,2,1
"f430",1,1,2,23,31,48,39,32,37,41,46,52,48,42,44,43
"f4311",1,0,0,3,2,0,3,5,3,1,3,4,5,5,3,4
"f4320",1,1,1,14,15,11,16,19,22,21,16,17,17,29,28,20
"f444",1,0,0,6,2,1,1,1,2,5,6,1,2,4,7,5
"f4489",1,0,0,1,2,1,1,3,3,1,5,1,2,3,2,3
"f5105",1,0,0,9,11,2,5,2,2,3,4,3,7,3,3,5
"f901",1,0,0,3,2,1,2,2,0,1,1,0,1,0,0,3
"f911",1,0,0,4,4,9,6,4,4,5,7,4,9,6,4,3
"f940",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f958",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"f959",1,0,0,4,6,5,1,8,8,5,4,5,3,2,4,3
"g039",1,0,0,12,15,13,11,16,19,21,21,20,16,17,14,15
"g40309",1,0,0,15,15,9,15,13,7,8,7,9,5,5,13,14
"g40409",1,0,1,18,9,71,85,85,73,75,66,87,87,70,81,78
"g40909",1,5,8,143,222,211,236,233,262,252,257,227,285,260,303,323
"g43001",1,0,0,3,4,4,7,7,4,10,9,11,5,10,5,3
"g4489",1,0,0,8,7,6,24,30,25,31,20,30,34,21,24,24
"g459",1,1,13,122,140,134,145,166,160,142,122,128,181,136,165,163
"g4730",1,0,4,100,138,129,110,136,137,102,121,114,143,130,130,135
"g4733",1,3,18,240,289,289,287,273,267,291,264,295,303,322,398,432
"g600",1,0,0,1,2,2,3,4,3,3,3,5,3,6,1,2
"g8190",1,0,1,13,11,14,8,11,13,7,15,16,10,12,12,12
"g8194",1,0,2,23,21,19,18,22,25,31,23,20,25,34,22,25
"g8250",1,0,0,10,14,10,6,10,7,6,11,10,10,9,16,5
"g9341",1,0,15,123,111,101,105,107,86,119,117,142,186,183,159,157
"h10023",1,1,1,8,22,10,11,8,6,7,10,14,11,5,10,13
"h1031",1,0,0,10,15,15,27,24,22,19,29,29,27,30,28,30
"h109",1,3,9,51,104,92,92,102,125,103,117,156,146,135,158,131
"h1130",1,0,0,6,5,9,9,4,12,12,8,6,9,9,15,6
"h119",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"h16139",1,0,0,0,2,1,0,2,0,3,3,2,0,0,0,2
"h539",1,0,4,25,31,28,37,40,37,30,35,35,55,43,43,53
"h6592",1,0,0,6,7,7,12,11,13,11,13,18,33,22,25,13
"h6690",1,2,13,107,95,83,108,97,135,147,167,212,228,255,188,141
"h6980",1,0,0,1,4,3,0,0,4,4,3,5,2,2,5,4
"h9203",1,0,1,19,34,39,35,32,32,27,38,48,49,52,56,40
"i200",1,0,0,46,68,56,58,53,50,62,51,52,63,61,82,88
"i214",1,0,13,164,151,168,216,150,157,151,154,181,191,195,270,233
"i341",1,0,3,9,6,12,7,10,13,18,13,15,15,11,16,22
"i447",1,0,0,49,45,32,34,29,44,43,47,53,58,42,55,54
"i472",1,2,4,61,75,61,76,54,73,78,56,74,84,72,108,68
"i480",1,0,16,248,285,225,265,251,230,288,256,284,337,315,358,372
"i4891",1,2,43,515,637,562,570,601,621,592,554,694,776,755,826,899
"i609",1,0,0,11,24,16,21,26,34,26,23,28,23,21,30,23
"i639",1,1,9,190,245,223,213,195,225,181,173,234,217,208,253,235
"i673",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i69351",1,0,0,20,20,86,52,51,46,47,43,50,72,64,71,54
"i69954",1,0,0,2,5,3,1,3,1,1,1,1,6,2,6,4
"i7300",1,1,0,9,8,7,12,9,7,5,8,5,21,18,13,18
"i739",1,1,14,148,234,161,154,163,168,159,158,163,207,179,227,223
"i871",1,0,0,0,2,4,8,4,3,2,4,2,2,6,2,8
"i9589",1,0,2,20,20,111,81,80,57,44,25,21,18,29,28,28
"i959",1,1,14,220,260,283,270,265,262,256,256,259,314,327,370,312
"j0100",1,2,3,29,32,42,41,75,63,51,73,95,110,87,80,55
"j028",1,0,0,22,30,26,34,38,42,32,48,56,53,67,44,54
"j0300",1,1,1,9,14,9,6,8,9,8,13,10,19,21,16,17
"j0390",1,1,3,51,91,61,76,95,94,101,76,93,87,107,90,105
"j15212",1,0,0,6,3,6,6,3,2,1,4,5,5,9,5,8
"j156",1,0,0,4,2,1,1,1,3,3,9,8,10,11,6,3
"j210",1,5,10,19,17,5,1,2,1,8,31,108,238,225,87,15
"j219",1,3,2,47,57,37,37,56,75,106,186,324,357,305,247,141
"j301",1,0,0,3,0,4,5,7,7,9,3,1,1,4,9,17
"j309",1,0,1,66,99,83,77,97,149,88,73,56,57,82,112,157
"j329",1,4,11,109,128,76,92,130,166,141,181,214,235,206,227,171
"j349",1,0,0,2,5,2,2,0,5,5,3,0,1,3,3,5
"j4521",1,0,0,22,28,22,22,28,41,54,42,41,45,43,42,52
"j45901",1,3,20,220,280,216,220,285,436,448,487,375,427,405,390,426
"j479",1,0,0,18,9,15,12,11,17,11,6,13,20,16,9,13
"j705",1,0,0,8,8,4,3,1,4,8,8,11,11,6,19,12
"j810",1,0,5,42,71,61,64,57,59,55,51,71,69,65,55,66
"j90",1,0,20,169,225,196,200,179,184,191,205,213,206,229,244,201
"j95822",1,0,0,4,14,14,10,9,5,4,0,1,2,3,0,2
"j9600",1,0,8,60,61,60,70,51,55,71,73,62,71,96,71,56
"j9620",1,0,4,20,23,25,24,19,17,13,13,24,29,31,27,21
"j989",1,1,5,6,3,4,5,8,5,2,4,7,18,15,9,6
"k007",1,0,0,7,21,21,18,30,20,17,18,23,24,13,20,19
"k0510",1,0,0,9,9,14,18,22,19,22,19,21,26,14,24,28
"k122",1,1,1,10,14,22,17,11,14,27,18,24,21,29,17,20
"k210",1,2,8,35,46,38,49,55,55,60,51,50,55,52,58,63
"k224",1,1,1,12,13,17,17,23,16,15,21,21,19,17,27,15
"k259",1,0,1,28,30,36,15,17,26,22,15,19,16,19,22,17
"k449",1,1,11,124,161,138,138,114,129,135,131,126,150,154,165,156
"k5660",1,0,5,56,77,68,93,67,71,56,75,76,57,64,79,81
"k567",1,0,9,45,54,60,73,52,78,75,63,74,69,76,73,81
"k5790",1,1,3,46,33,30,34,30,36,43,32,35,33,30,37,47
"k5792",1,0,5,44,59,90,84,83,82,82,78,58,86,63,77,85
"k5909",1,0,2,24,38,42,58,74,83,52,53,51,53,47,60,48
"k644",1,1,1,12,22,30,37,36,50,38,41,43,31,38,38,48
"k660",1,0,1,14,31,19,26,12,19,15,18,13,12,14,19,15
"k7010",1,0,3,22,33,27,29,26,20,19,24,25,21,19,35,35
"k7030",1,0,2,26,31,28,27,21,23,34,28,24,29,33,34,42
"k760",1,0,5,77,98,74,78,80,79,87,78,63,109,97,106,117
"k829",1,0,0,9,12,5,10,18,6,3,4,4,9,9,8,9
"k904",1,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0
"l02211",1,0,1,21,18,27,19,28,28,29,23,28,20,30,35,37
"l02411",1,0,3,15,21,10,15,18,28,23,26,18,19,10,21,23
"l02412",1,0,1,5,16,17,28,36,25,19,14,13,13,13,21,12
"l03112",1,0,1,9,6,3,6,7,4,4,2,3,2,3,6,1
"l03115",1,0,8,100,192,254,259,212,223,210,163,159,162,154,202,179
"l03116",1,1,10,115,192,204,284,277,267,192,212,159,143,151,189,192
"l231",1,0,0,0,1,1,2,3,1,0,0,2,1,2,0,1
"l236",1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1
"l298",1,0,0,11,14,15,24,26,22,20,23,15,15,7,23,24
"l509",1,4,6,66,130,132,157,178,191,231,215,176,174,140,154,126
"l739",1,0,2,21,35,33,43,48,46,42,52,40,38,20,49,33
"l89154",1,0,0,2,6,6,8,7,4,5,4,4,7,6,7,7
"l89159",1,0,2,9,8,5,9,7,12,9,8,8,7,9,20,14
"l89324",1,0,0,0,1,1,1,3,3,0,1,1,2,2,2,0
"l89613",1,0,0,0,2,3,0,2,2,3,0,0,0,2,2,1
"l89893",1,0,0,0,1,1,0,1,2,2,1,2,2,2,2,1
"l97509",1,0,1,7,10,8,20,8,17,9,6,16,11,10,9,3
"l97519",1,0,2,15,16,14,22,18,30,21,18,27,18,18,18,13
"m1711",1,0,0,9,9,12,15,18,13,15,16,19,18,16,23,31
"m1990",1,0,10,181,190,180,188,235,240,240,220,231,231,252,267,276
"m20012",1,0,0,0,2,1,3,3,2,2,3,0,1,2,0,1
"m247",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"m25529",1,0,1,6,13,6,1,10,7,10,3,7,6,5,3,4
"m25532",1,0,5,47,76,58,75,87,105,88,79,79,84,91,72,100
